Title,Year,Summary,Short Summary,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast,Genres
Control,2017,"The once unconditional friendship between police officers Vincke and Verstuyft hits a very rough patch when they come up against a series of gruesome murders. Complicating matters even further, a survivor of the killer drives a wedge between them when Verstuyft falls for her charms. Meanwhile, the serial killer has a new victim in sight...",The once unconditional friendship between police officers Vincke and Verstuyft hits a very rough patch when they come up against a series of gruesome murders. Complicating matters even ...,tt1727497,127,xF99vVf8yv0,6.3,https://m.media-amazon.com/images/M/MV5BZWZiYjQzYTUtMTJmNC00NTk3LThiZjEtZTU2NWM1MmU4Yzg0XkEyXkFqcGdeQXVyMjI2NjkxNTY@._V1_.jpg,Jan Verheyen,Jef Geeraerts,Greg Timmermans|Koen De Bouw|Werner De Smedt,Action|Crime|Drama
Dear Etranger,2017,"A 40-year old man sees his life change when his wife gets pregnant. He already has a daughter from his first marriage whom he rarely sees and two step-daughters, from his wife's first marriage. The youngest of his step-daughters is looking forward to a baby brother or sister, but the oldest doesn't welcome the news and suddenly decides that she wants to live with her father. And as if that were not enough trouble, he is forced out of his good office job into an inferior position.","A 40-year old man sees his life change when his wife gets pregnant. He already has a daughter from his first marriage whom he rarely sees and two step-daughters, from his wife's first ...",tt5797164,0,F-FPd35FqAY,7.0,https://m.media-amazon.com/images/M/MV5BMGJhYjAxMTktNmE4OS00NWNkLTlhMmMtYTZiYmE1MWU5OTQ0XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_.jpg,Yukiko Mishima,Kiyoshi Shigematsu,Miu Arai|Rena Tanaka|Tadanobu Asano,Drama
Grace Jones: Bloodlight and Bami,2017,"Larger than life, wild, scary and androgynous - Grace Jones plays all these parts. Yet here we also discover her as a lover, daughter, mother, sister and even grandmother, as she submits herself to our gaze and allows us to understand what constitutes her mask. The stage is where her most extreme embodiments are realised and her theatrical imagination lets loose: this is where the musical of her life is played out. The film includes Grace's unique performances singing iconic hits such as Slave To The Rhythm, Pull Up To The Bumper, as well as the more recent autobiographical tracks Williams' Bloods and Hurricane. These personal songs also link to Grace's family life, as the film takes us on a holiday road trip across Jamaica, where her family roots and the story of her traumatic childhood are uncovered. In Jamaican patois, 'Bloodlight' is the red light that illuminates when an artist is recording and 'Bami' means bread, the substance of daily life. Grace Jones: Bloodlight and Bami ...","Larger than life, wild, scary and androgynous - Grace Jones plays all these parts. Yet here we also discover her as a lover, daughter, mother, sister and even grandmother, as she submits ...",tt6903636,115,HScUsiZLoCg,6.1,https://m.media-amazon.com/images/M/MV5BMDJlMTlmYjAtYTlhOS00MGRkLWI0YWUtNzYzOTJiODBmOTc2XkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_.jpg,Sophie Fiennes,Grace Jones,Sly &amp; Robbie,Documentary|Music
All the Money in the World,2017,"Rome, 1973. Masked men kidnap a teenage boy named John Paul Getty III (Charlie Plummer). His grandfather, Jean Paul Getty (Christopher Plummer), is the richest human in the world, a billionaire oil magnate, but he's notoriously miserly. His favorite grandson's abduction is not reason enough for him to part with any of his fortune. All the Money in the World (2017) follows Gail, (Michelle Williams), Paul's devoted, strong-willed mother, who unlike Getty, has consistently chosen her children over his fortune. Her son's life in the balance with time running out, she attempts to sway Getty even as her son's mob captors become increasingly more determined, volatile and brutal. When Getty sends his enigmatic security man Fletcher Chace (Mark Wahlberg) to look after his interests, he and Gail become unlikely allies in this race against time that ultimately reveals the true and lasting value of love over money.",The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.,tt5294550,132,KXHrCBkIxQQ,6.9,https://m.media-amazon.com/images/M/MV5BNjY3Mjg0OTc1OF5BMl5BanBnXkFtZTgwNDU0MzAyNDM@._V1_.jpg,Ridley Scott,David Scarpa,Christopher Plummer|Mark Wahlberg|Michelle Williams,Biography|Crime|Drama
Chasing the Dragon,2017,"The year is 1963, an illegal immigrant named Ho (Donnie Yen) sneaks into British-ruled Hong Kong. Equipped with guts and combat skills, he plunges into the underground world getting into constant conflict with rivals. After many adversaries, the once good-natured man is physically crippled and turns into a monster more atrocious than all the most corrupted cops and ruthless drug dealers. Ho eventually emerges as the most powerful drug lord under the control of Chief Detective Sergeant, Lee Rock (Andy Lau). However, with the establishment of Independent Commission Against Corruption (ICAC) by the law enforcement in 1974, Rock is forced into premature retirement. But Ho still insists he would not be stopped as he determines to become the sole dictator of the drug empire.","An illegal immigrant from Mainland China sneaks into corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless and emerging drug lord.",tt6015328,128,Adj5dtSKF8U,6.9,https://m.media-amazon.com/images/M/MV5BYjZhNTlkZjktYjc5Mi00YmJiLWJjYjYtYzgxN2FmZjNhNTcxXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg,Jason Kwan,Jing Wong,Andy Lau|Donnie Yen,Action|Biography|Crime
I Kill Giants,2017,"Twelve-year-old Barbara Thorson flees from reality, leaving in the imaginary world of fantasy and magic, where she fights with giants. Her family does not understand her, peers do not like her, and she irritates teachers. And only recently moved here Sofia, her same age, trying to make friends with her.",Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.,tt4547194,106,ZBfLY-YL-5w,6.5,https://m.media-amazon.com/images/M/MV5BMjM1MTc3ODcwMV5BMl5BanBnXkFtZTgwNTU2MjA4NDM@._V1_.jpg,Anders Walter,Joe Kelly,Madison Wolfe|Zoe Saldana,Adventure|Drama|Fantasy
Roxanne Roxanne,2017,"In the early 1980s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita ""Roxanne Shanté"" Gooden was well on her way to becoming a hip-hop legend as she hustled to provide for her family while defending herself from the dangers of the streets of the Queensbridge Projects in NYC.","In the late 80s/ early 1990s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita &quot;Roxanne ...",tt5796838,100,IKA8H_LolNM,6.1,https://m.media-amazon.com/images/M/MV5BNjg5YTZmOTMtZTcyNS00NWRkLTlmNjItMGJjYTdlZTBiODBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Michael Larnell,Michael Larnell,Chanté Adams|Mahershala Ali|Nia Long,Drama
Film Stars Don't Die in Liverpool,2017,"Real life proves just as dramatic off-screen as it does on it for these two actors, the aging Hollywood superstar Gloria Grahame and her younger lover, Peter Turner. As their mismatched romance waxes and wanes over time, events conspire to keep them in each other's lives even when it proves difficult and demanding. Ultimately, they find that they must each come to terms with whatever fate they face in the future whether they are together or apart.",A romance sparks between a young actor and a Hollywood leading lady.,tt5711148,105,aCwt4kYWOHA,6.8,https://m.media-amazon.com/images/M/MV5BYTEzNWZjNWMtZDUxYi00M2MwLTk1NmYtMTVmYTg5ZDAwMTBhXkEyXkFqcGdeQXVyNDE0MzQxNjQ@._V1_.jpg,Paul McGuigan,Matt Greenhalgh,Annette Bening|Jamie Bell|Kenneth Cranham,Biography|Drama|Romance
Every Secret Thing,2014,"A detective looks to unravel a mystery surrounding missing children and the prime suspects: two young women who, seven years ago, were put away for an infant's death.","A detective looks to unravel a mystery surrounding missing children and the prime suspects: two young women who, seven years ago, were put away for an infant's death.",tt1706598,93,6QT0zKjvRfE,6.1,https://m.media-amazon.com/images/M/MV5BMTQ4OTAwMTE2N15BMl5BanBnXkFtZTgwMTUyNzUzNTE@._V1_.jpg,Amy Berg,Nicole Holofcener,Dakota Fanning|Diane Lane|Elizabeth Banks,Crime|Drama|Mystery
Believe in Me,2006,"Girls? The thought of coaching them seems preposterous to Clay Driscoll (earnest newcomer Jeffrey Donovan), who travels to Middleton, Okla., in the 1960s prepared to coach the varsity boys' team. But that position is filled, so he's forced to coach the girls' team -- the Lady Cyclones. Faced with an under-performing crew of untrained players, the coach begins to treat the girls like boys. They run laps in a closed gym and practice shots and plays they've never tried before -- and eventually their ""old-fashioned grit"" leads them to a Cinderella season culminating with the state championships. Along their way, Driscoll and the girls overcome several obstacles, most of all, gaining a fan base. Meanwhile, big man in town Ellis Brawley (Bruce Dern) can't stand Driscoll and his newfangled idea of empowering female athletes. Of course, the Lady Cyclones are up to the task of proving Brawley wrong. Driven by their caring young coach, the girls determine to play as hard as the boys, even ...","In a conservative small town, a young man's wish to coach high school basketball are tweaked by a school board decision that makes him the new coach of the girls' team.",tt0419491,0,IHatBd-2lLI,7.1,https://m.media-amazon.com/images/M/MV5BMTVkYmJmYjctNWRjYy00ZGI0LTk3MmMtNzI2ODQ5YmQ2OTA0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg,Robert Collector,Robert Collector,Bruce Dern|Jeffrey Donovan|Samantha Mathis,Drama|Family|Sport
Still the Water,2014,"On the subtropical Japanese island of Amami, traditions about nature remain eternal. During the full-moon night of traditional dances in August, 16-year-old Kaito discovers a dead body floating in the sea. His girlfriend Kyoko will attempt to help him understand this mysterious discovery. Together, Kaito and Kyoko will learn to become adults by experiencing the interwoven cycles of life, death and love.","On a subtropical island, a teenage couple deal with the interwoven cycle of life, death and love.",tt3230162,121,npg8_sHQmbc,6.8,https://m.media-amazon.com/images/M/MV5BNGYwODBiYTItYzA1Ni00ZmE1LWFkMjctYTAyOGRlNjQ5YTNiXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_.jpg,Naomi Kawase,Naomi Kawase,Junko Abe|Miyuki Matsuda|Nijirô Murakami,Drama|Romance
Redemption Trail,2013,"Two powerful, yet deeply troubled women - refugees from political and personal trauma - flee a past that haunts them. The daughter of a murdered Black Panther revolutionary, Tess, lives off the grid on a Sonoma vineyard, fiercely detached from all connections. Her hermetic life cracks when she gives reluctant shelter to a desperate young woman, Anna who has attempted suicide in a nearby forest. An unlikely alliance forms between the two, where other close relationships have failed - David, Anna's husband and John, Tess' employer, cannot break through their walls. But the very difference between the two women opens them up to a new vision of themselves, as not only survivors, but as heroes capable even of a thrilling shoot-out in the name of outlaw justice. Reclaiming freedom, and life, they plunge forward, towards an unknown, transformative horizon.","Two powerful, yet deeply troubled women - refugees from political and personal trauma - flee a past that haunts them. The daughter of a murdered Black Panther revolutionary, Tess, lives off...",tt2009432,92,vM8_fHXeTVk,6.7,https://m.media-amazon.com/images/M/MV5BMjM1NTE4NTc5M15BMl5BanBnXkFtZTgwOTAyMDkxMjE@._V1_.jpg,Britta Sjogren,Britta Sjogren,Jake Weber|Lily Rabe|LisaGay Hamilton,Action
Black Marigolds,2013,"Black Marigolds is a drama steeped in literature. Following writer Ryan Cole and his wife Kate as they move to an off season vacation home on a frigid lake in Northern California so that Ryan can finish his new novel. At first everything is perfect for two people who need only each other to be happy. But soon Kate begins to notice Ryan forgetting things, and as his frustration grows so does her concern for him. While he refuses to seek help, he becomes increasingly volatile and unpredictable. Finally it will be up to Kate to choose between the pleasant past or the terrible future.",Writer Ryan Cole and his Wife Kate go to an off season vacation house where he intends to finish his second novel. But their plans are changed by a devastating mental illness.,tt2141623,84,gLzRi0wbneI,6.1,https://m.media-amazon.com/images/M/MV5BMjA2NjE2NDM1MF5BMl5BanBnXkFtZTgwODg2OTcyNjE@._V1_.jpg,Lance Malbon,Lance Malbon,Noah Bean|Paul Ben-Victor|Rachel Boston,Drama
The Greatest Showman,2017,"Orphaned, penniless but ambitious and with a mind crammed with imagination and fresh ideas, the American Phineas Taylor Barnum will always be remembered as the man with the gift to effortlessly blur the line between reality and fiction. Thirsty for innovation and hungry for success, the son of a tailor will manage to open a wax museum but will soon shift focus to the unique and peculiar, introducing extraordinary, never-seen-before live acts on the circus stage. Some will call Barnum's wide collection of oddities, a freak show; however, when the obsessed showman gambles everything on the opera singer Jenny Lind to appeal to a high-brow audience, he will somehow lose sight of the most important aspect of his life: his family. Will Barnum risk it all to be accepted?","Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.",tt1485796,105,AXCTMGYUg9A,7.8,https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_.jpg,Michael Gracey,Jenny Bicks,Hugh Jackman|Michelle Williams,Biography|Drama|Musical
Of Mind and Music,2014,"A story about a beautiful street musician suffering from memory loss and a disheartened neuroscientist intent on helping her, bringing together the city of New Orleans and the jazz that made it famous.","A story about a beautiful street musician suffering from memory loss and a disheartened neuroscientist intent on helping her, bringing together the city of New Orleans and the jazz that made it famous.",tt3057572,98,LtEQowDXUmU,7.0,https://m.media-amazon.com/images/M/MV5BMTYyNDQ5ODcyNl5BMl5BanBnXkFtZTgwMjY4MzM0NjE@._V1_.jpg,Richie Adams,Richie Adams,Aunjanue Ellis|Bill Cobbs|Joaquim de Almeida,Drama
Demon House,2018,"The story takes place with doing a docudrama about the home he purchased in Gary, Indiana. He convinces a couple of previous tenants to come back and discuss their accounts of the frightening ordeals that they endured during their stay at the home. A woman becomes possessed and begins speaking in tongues. Following the extreme amount of activity documented, production had to be halted, but the movie has been finished one year later and, boy, are you in for one edge of your seat demonic thrill ride.",Paranormal investigator Zak Bagans documents the most authenticated case of possession in American history.,tt4130484,111,zGbZheZYpLM,6.1,https://m.media-amazon.com/images/M/MV5BMjQwOTU0NTY0MV5BMl5BanBnXkFtZTgwMjQ4Njk2NDM@._V1_.jpg,Zak Bagans,Zak Bagans,Adam Ahlbrandt|Matthew Mourgides|Zak Bagans,Documentary|Horror
Along for the Ride,2016,A documentary about Dennis Hopper.,A documentary about Dennis Hopper.,tt3986978,90,oGXol1CI26k,7.0,https://m.media-amazon.com/images/M/MV5BMTc3NDkyMTI1Ml5BMl5BanBnXkFtZTgwMjgzMzQwNDI@._V1_.jpg,Nick Ebeling,Satya De La Manitou,Damon Albarn|Julie Adams,Documentary
Centre of My World,2016,"After a summer spent with his his best friend Kat to escape his family, Phil goes back to school and starts to question his feelings towards Nicholas, a new classmate.","After a summer spent with his his best friend Kat to escape his family, Phil goes back to school and starts to question his feelings towards Nicholas, a new classmate.",tt4932154,115,u-PTAF5wgS0,7.3,https://m.media-amazon.com/images/M/MV5BNTg3ZWZiMGEtZmNkYS00MDdmLThjOTAtMTA3MzEyZmNiMjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Jakob M. Erwa,Jakob M. Erwa,Bendix Hansen|Louis Hofmann|Sarah Fuhrer,Drama|Family|Romance
Wonderstruck,2017,"Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress who's life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.","Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress who's life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.",tt5208216,116,n207k52C3DM,6.3,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@._V1_.jpg,Todd Haynes,Brian Selznick,Julianne Moore|Michelle Williams|Oakes Fegley,Drama|Family|Mystery
The Witness,2015,"Bill Genovese's decade-long journey to unravel the truth about the mythic death and little-known life of his sister, Kitty, who was reportedly stabbed in front of 38 witnesses and became the face of urban apathy. THE WITNESS begins in 2004 when The Times questions its original story: the number of witnesses, what they observed, the number of attacks. None was more affected by the story than Bill. He vowed not to be like the 38, volunteered for Vietnam, and lost both legs. What if Kitty's mythic story is an urban myth? Breaking his family's half-century of silence, Bill seeks to find the truth confronting the witnesses, the killer, their families and his own. THE WITNESS is about bearing witness, loss and forgiveness, and what we owe each other.",The brother of Kitty Genovese investigates the circumstances of her murder and the truth of the story that dozens of locals witnessed the crime and did nothing to intervene.,tt3568002,89,EAGOoF5CDXA,7.1,https://m.media-amazon.com/images/M/MV5BMDgwOTIwNDEtNjNkOC00MmE3LTk4OWYtMTMxNTI2ODRkZTY3XkEyXkFqcGdeQXVyMzYwMjM1NA@@._V1_.jpg,James D. Solomon,William Genovese,Shannon Beeby|William Genovese,Action
Harold and Lillian: A Hollywood Love Story,2015,"Movie fans know the work of Harold and Lillian Michelson, even if they don't recognize the names. Working largely uncredited in the Hollywood system, storyboard artist Harold and film researcher Lillian left an indelible mark on classics by Alfred Hitchcock, Steven Spielberg, Mel Brooks, Stanley Kubrick, Roman Polanski and many more. Through an engaging mix of love letters, film clips and candid conversations with Harold and Lillian, Danny DeVito, Mel Brooks, Francis Ford Coppola and others, this deeply engaging documentary from Academy Award®-nominated director Daniel Raim offers both a moving portrait of a marriage and a celebration of the unknown talents that help shape the films we love.","Harold and Lillian eloped to Hollywood in 1947, where they became the film industry's secret weapons. Nobody talked about them, but everybody wanted them. Theirs is the greatest story never told-until now.",tt4683668,94,sfc3aAQ_UTI,8.0,https://m.media-amazon.com/images/M/MV5BZTgzMDcyZTAtMjk2OC00NzA2LTlmZWItYzg2NDIwZTg5YTdmXkEyXkFqcGdeQXVyODgxNDQxOTQ@._V1_.jpg,Daniel Raim,Daniel Raim,Bill Krohn|Harold Michelson|Lillian Michelson,Documentary
Ferrari 312B: Where the Revolution Begins,2017,"In a race against time and all odds, the revolutionary F1 racing car Ferrari 312B will get back on the Monaco circuit, 46 years later, under the wing of it's creator, the genius engineer Mauro Forghieri.","In a race against time and all odds, the revolutionary F1 racing car Ferrari 312B will get back on the Monaco circuit, 46 years later, under the wing of its creator, the genius engineer Mauro Forghieri.",tt7017474,85,p-5wUn2X-rc,7.0,https://m.media-amazon.com/images/M/MV5BN2YzOTEzNmYtNmY4ZC00YThiLWI1ZDktMGE1MjZkODlhZjYwXkEyXkFqcGdeQXVyNzczNDE2Njk@._V1_.jpg,Andrea Marini,Paolo Barilla,Bob Constanduros,Documentary
The Monkey King 2,2016,"When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon.","When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon.",tt4591310,119,ygTmV3K57_8,6.0,https://m.media-amazon.com/images/M/MV5BYzg0ZDY0MmEtMGM2Yi00OGFkLTgyMjQtYTc1MDkwNjU1MDc3XkEyXkFqcGdeQXVyMzA1ODAzMjM@._V1_.jpg,Soi Cheang,Ping Ran,Aaron Kwok|Li Gong,Action|Adventure|Fantasy
Fairy Tail: The Movie - Dragon Cry,2017,"""Dragon Cry"" - it's a magic artifact, that power can destroy the world. For a long time she was kept in the Kingdom of Fiore, but in the end was stolen by the Kingdom of Stella. The main characters (Natsu, Lucy, Gray, Erza, Wendy, Happy and Carla) penetrate into the Kingdom on a mission undercover. In the end they will have to deal with the King Animus and his entourage (Zach and Sonya). The purpose of the Animus to enslave the world? And Sonya was secretly trying to save the country? Expect exciting adventures on the sea of intrigue and save the world.","In the new film, based on the Hiro Mashima's manga, Natsu Dragneel and his friends travel to the island Kingdom of Stella, where they will reveal dark secrets, fight the new enemies and once again save the world from destruction.",tt6548966,85,0bIkW607yJA,7.5,https://m.media-amazon.com/images/M/MV5BZWM5MTE1NmItMzJiMS00MjU0LWJiZmYtMDBiYjdiNTFjODhlXkEyXkFqcGdeQXVyNjg5NDY2MDc@._V1_.jpg,Tatsuma Minamikawa,Hiro Mashima,Makoto Furukawa|Wataru Hatano,Action|Adventure|Animation
24 City,2008,"Change and a city in China. In Chengdu, factory 420 is being pulled down to make way for multi-story buildings with luxury flats. Scenes of factory operations, of the workforce, and of buildings stripped bare and then razed, are inter-cut with workers who were born in the 1930s, 1940s, and 1950s telling their stories - about the factory, which manufactured military aircraft, and about their work and their lives. A middle-aged man visits his mentor, now elderly; a woman talks of being a 19-year-old beauty there and ending up alone. The film concludes with two young people talking, each the child of workers, each relaying a story of one visit to a factory. Times change.","Change and a city in China. In Chengdu, factory 420 is being pulled down to make way for multi-story buildings with luxury flats. Scenes of factory operations, of the workforce, and of ...",tt1103963,112,34-aVx6Qa_8,7.1,https://m.media-amazon.com/images/M/MV5BMjMyNjQ1NjIxOV5BMl5BanBnXkFtZTgwMTA5NTcwMzE@._V1_.jpg,Zhangke Jia,Zhangke Jia,Jianbin Chen|Joan Chen|Liping Lü,Drama
To Rome with Love,2012,"In Rome, the America tourist Hayley meets the local lawyer Michelangelo on the street and soon they fall in love with each other. Hayley's parents, the psychiatrist Phyllis and the retired music producer Jerry, travel to Rome to meet Michelangelo and his parents. When Jerry listens to Michelangelo's father Giancarlo singing opera in the shower, he is convinced that he is a talented opera singer. But there is a problem: Giancarlo can only sing in the shower. The couple Antonio and Milly travel to Rome to meet Antonio's relatives that belong to the high society. Milly goes to the hairdresser while Antonio waits for her in the room. Milly gets lost in Rome and the prostitute Anna mistakenly goes to Antonio's room. Out of the blue, his relatives arrive in the room and they believe Anna is Antonio's wife. Meanwhile the shy Milly meets her favorite actor Luca Salta (Antonio Albanese) and goes to his hotel room ""to discuss about movies"". One day, the middle-class clerk Leopoldo becomes a ...","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",tt1859650,112,ft__aQSrHqE,6.3,https://m.media-amazon.com/images/M/MV5BMTcwNTg4MDMxM15BMl5BanBnXkFtZTcwNjAzMzY3Nw@@._V1_.jpg,Woody Allen,Woody Allen,Jesse Eisenberg|Penélope Cruz|Woody Allen,Comedy|Romance
Journey to the West,2014,"Tsai Ming-liang returns with this latest entry in his Walker series, in which his monk acquires an unexpected acolyte in the form of Denis Lavant as he makes his way through the streets of a sun-dappled Marseille.","Tsai Ming-liang returns with this latest entry in his Walker series, in which his monk acquires an unexpected acolyte in the form of Denis Lavant as he makes his way through the streets of a sun-dappled Marseille.",tt3521442,56,FOxhoVx6a8o,6.8,https://m.media-amazon.com/images/M/MV5BY2I0MGIxNTYtMjkwMy00MWViLTlmNWQtMmRlNDYzZmY4MmE4XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_.jpg,Ming-liang Tsai,Cheng'en Wu,Denis Lavant|Kang-sheng Lee,Documentary|Drama
Iron Men,2017,Behind the scenes and with the fans of West Ham United as they move to a new home after 112 years at Upton Park.,Behind the scenes and with the fans of West Ham United as they move to a new home after 112 years at Upton Park.,tt6440810,75,,7.2,https://m.media-amazon.com/images/M/MV5BYzkxOGRiZGUtYjA2YS00NTczLTllNGMtZWRmYjgxZjZjMDQ4L2ltYWdlXkEyXkFqcGdeQXVyMjQzNDA4MTg@._V1_.jpg,Paul Crompton,Mabel Arnold,Mark Gevaux,Documentary
Fassbinder,2015,"A film portrait of the influential Bavarian actor, director and screenwriter who publicly confessed his homosexuality.","A film portrait of the influential Bavarian actor, director and screenwriter who publicly confessed his homosexuality.",tt4536540,95,,6.6,https://m.media-amazon.com/images/M/MV5BYWNlNzIxYWQtYjE5My00Y2IxLWJiMWYtZmQxMmFiNWMzYWU5XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_.jpg,Annekatrin Hendel,Annekatrin Hendel,Irm Hermann|Juliane Lorenz|Margit Carstensen,Documentary
Black Bread,2010,"In the harsh post-war years' Catalan countryside, Andreu, a child that belongs to the losing side, finds the corpses of a man and his son in the forest. The authorities want his father to be made responsible of the deaths, but Andreu tries to help his father by finding out who truly killed them. In this search, Andreu develops a moral consciousness against a world of adults fed by lies. In order to survive, he betrays his own roots and ends up finding out the monster that lives within him.","In the harsh post-war years' Catalan countryside, Andreu, a child that belongs to the losing side, finds the corpses of a man and his son in the forest. The authorities want his father to ...",tt1454523,108,mn_gJ5Aly6c,7.0,https://m.media-amazon.com/images/M/MV5BN2MyOWFlOTUtMDhlZi00YTgzLTk0MzgtMTJjYTQzMDgyNzFhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg,Agustí Villaronga,Emili Teixidor,Francesc Colomer|Jhon Mejía|Marina Comas,Drama
Won't Back Down,2012,"Two determined mothers with children who are failing in an inner city school in Pittsburgh join forces to take back the school, and turn it into a place of learning. But before they can change the school for the better, they must first battle the parents, the school board, and the teachers union. Because this is for their children, they won't back down from this enormous challenge.","Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children.",tt1870529,0,busgdBQE9M0,6.4,https://m.media-amazon.com/images/M/MV5BMTg2NzUyMzYxOF5BMl5BanBnXkFtZTcwOTc4NzY5Nw@@._V1_.jpg,Daniel Barnz,Brin Hill,Holly Hunter|Maggie Gyllenhaal|Viola Davis,Drama
Still Walking,2008,"Still Walking is a family drama about grown children visiting their elderly parents, which unfolds over one summer day. The aging parents have lived in the family home for decades. Their son and daughter return for a rare family reunion, bringing their own families with them. They have gathered to commemorate the tragic death of the eldest son, who drowned in an accident fifteen years ago. Although the roomy house is as comforting and unchanging as the mother's homemade feast, everyone in the family has subtly changed.",A family gathers together for a commemorative ritual whose nature only gradually becomes clear.,tt1087578,115,Id7tXouypEE,8.0,https://m.media-amazon.com/images/M/MV5BOWEzMGIyNWUtZTMzMS00NGY2LTllZWYtMjgwZjRkYWY2NTFkXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_.jpg,Hirokazu Koreeda,Hirokazu Koreeda,Hiroshi Abe|You|Yui Natsukawa,Drama
Annihilation,2018,"A biologist's husband disappears. She puts her name forward for an expedition into an environmental disaster zone, but does not find what she's expecting. The expedition team is made up of the biologist, an anthropologist, a psychologist, a surveyor, and a linguist.","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",tt2798920,115,89OP78l9oF0,7.0,https://m.media-amazon.com/images/M/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_.jpg,Alex Garland,Alex Garland,Jennifer Jason Leigh|Natalie Portman|Tessa Thompson,Adventure|Drama|Fantasy
Takeshis',2005,"Beat Takeshi lives the busy and sometimes surreal life of a showbiz celebrity. One day he meets his blond lookalike named Kitano, a shy convenience store cashier, who, still an unknown actor, is waiting for his big break. After their paths cross, Kitano seems to begin hallucinating about becoming Beat.","Beat Takeshi, a prominent actor, meets a lookalike named Kitano, who is a struggling actor, but after the meeting, Kitano's dreams take a violent, surreal turn.",tt0478044,108,esRWmVRGk9M,6.4,https://m.media-amazon.com/images/M/MV5BNmMwY2QyMDYtYjA1MS00MGQ2LTk1NzctZDQzMDBiZTE4ODMwXkEyXkFqcGdeQXVyNTUwOTA0Mzg@._V1_.jpg,Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto|Kotomi Kyôno|Takeshi Kitano,Comedy|Drama
The Nile Hilton Incident,2017,"Set against the backdrop of the Egyptian Revolution, the thriller features a police officer who investigates the murder of a woman. What initially seems to be a killing of a prostitute turns into a more complicated case involving the very elite of Egypt.","A maid witnesses a murder at an upscale hotel and a policeman is assigned to the case, but it soon becomes clear that important people don't want the case solved.",tt5540188,111,G1njw7sUFoQ,6.9,https://m.media-amazon.com/images/M/MV5BMDhmMWQyNjUtZTM5NC00MThhLWEyNzktOTM2ZTYzZWU5MGYyXkEyXkFqcGdeQXVyNTQwMDA5NTg@._V1_.jpg,Tarik Saleh,Tarik Saleh,Fares Fares|Mari Malek|Yasser Ali Maher,Action
Star Wars: The Last Jedi,2017,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.",tt2527336,152,Q0CbN8sfihY,7.4,https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_.jpg,Rian Johnson,Rian Johnson,Daisy Ridley|John Boyega|Mark Hamill,Drama
